id,name,code,parent_id/id,type,user_type,reconcile
0,Thailand - Chart of Accounts for Pawnshop,0,,View,Root/View,FALSE
BS,Statement of Financial Position,BS,0,View,View,FALSE
1000-00,Assets,1000-00,BS,View,View,FALSE
1100-00,Current Assets,1100-00,1000-00,View,Assets,FALSE
1110-00,Cash & Cash equivalents,1110-00,1100-00,View,Current Assets,FALSE
1111-00,Cash,1111-00,1110-00,Liquidity,Current Assets,FALSE
1111-10,Petty Cash,1111-10,1110-00,Liquidity,Current Assets,FALSE
1112-00,Curent Deposit,1112-00,1110-00,View,Current Assets,FALSE
1112-01,Current Deposit - xxxx,1112-01,1112-00,Liquidity,Current Assets,FALSE
1112-02,Current Deposit - xxxx,1112-02,1112-00,Liquidity,Current Assets,FALSE
1113-00,Savings Account,1113-00,1110-00,View,Current Assets,FALSE
1113-01,Savings Account -xxxx,1113-01,1113-00,Liquidity,Current Assets,FALSE
1120-00,Short Term Investment,1120-00,1100-00,Regular,Current Assets,FALSE
1130-00,Accounts and Notes Receivable,1130-00,1100-00,View,Current Assets,FALSE
1130-01,Accounts Receivable - Trade,1130-01,1130-00,Receivable,Receivable,TRUE
1130-02,Note Receivable,1130-02,1130-00,Regular,Current Assets,FALSE
1130-03,Post Date Cheque,1130-03,1130-00,Regular,Current Assets,FALSE
1130-04,Allowance for Doubtful Accounts,1130-04,1130-00,Regular,Current Assets,FALSE
1130-05,Other Accounts Receivable,1130-05,1130-00,Regular,Current Assets,FALSE
1140-00,Pawn,1140-00,1100-00,Regular,Current Assets,FALSE
1150-00,Reposessed Assets,1150-00,1100-00,Regular,Current Assets,FALSE
1160-00,Other Current Assets,1160-00,1100-00,View,Current Assets,FALSE
1161-00,Advance Payment,1161-00,1160-00,View,Current Assets,FALSE
1161-01,Advance Staffs,1161-01,1161-00,Regular,Current Assets,FALSE
1162-00,Prepaid Expenses,1162-00,1160-00,View,Current Assets,FALSE
1162-01,Prepaid - Insurance Premium,1162-01,1162-00,Regular,Current Assets,FALSE
1162-02,Prepaid Expenses - Rent,1162-02,1162-00,Regular,Current Assets,FALSE
1162-03,Other Prepaid Expenses,1162-03,1162-00,Regular,Current Assets,FALSE
1162-04,Prepaid Income Tax,1162-04,1162-00,Regular,Current Assets,FALSE
1162-05,Withholding Tax,1162-05,1162-00,Regular,Current Assets,FALSE
1163-00,Accrued Incomes,1163-00,1160-00,View,Current Assets,FALSE
