id,name,active,category_id/id,uom_type,factor_inv,factor,rounding
product.product_uom_cm,cm,FALSE,product.uom_categ_length,smaller,0.01,100,0.01
product.product_uom_day,Day(s),FALSE,product.uom_categ_wtime,reference,1,1,0.01
product.product_uom_dozen,Dozen(s),FALSE,product.product_uom_categ_unit,bigger,12,0.0833333333,0.01
product.product_uom_gram,g,FALSE,product.product_uom_categ_kgm,smaller,0.001,1000,0.01
product.product_uom_hour,Hour(s),FALSE,product.uom_categ_wtime,smaller,0.125,8,0.01
product.product_uom_kgm,kg,FALSE,product.product_uom_categ_kgm,reference,1,1,0.01
product.product_uom_km,km,FALSE,product.uom_categ_length,bigger,1000,0.001,0.01
product.product_uom_litre,Liter(s),FALSE,product.product_uom_categ_vol,reference,1,1,0.01
product.product_uom_meter,m,FALSE,product.uom_categ_length,reference,1,1,0.01
product.product_uom_ton,t,FALSE,product.product_uom_categ_kgm,bigger,1000,0.001,0.01
product.product_uom_unit,Unit(s),TRUE,product.product_uom_categ_unit,reference,1,1,1
product.product_uom_chin,ชิ้น,TRUE,product.product_uom_categ_unit,bigger,1,1,1
product.product_uom_tang,แท่ง,TRUE,product.product_uom_categ_unit,bigger,1,1,1
product.product_uom_ruen,ตัวเรือน,TRUE,product.product_uom_categ_unit,bigger,1,1,1
product.product_uom_hor,ห่อ,TRUE,product.product_uom_categ_unit,bigger,1,1,1
product.product_uom_med,เม็ด,TRUE,product.product_uom_categ_unit,bigger,1,1,1
product.product_uom_karat,กะรัต,TRUE,product.product_uom_categ_unit,bigger,1,1,0.01
